group,label,cssClass,logName,type,signal,onValue,offValue,default
ACC,ACC,greyButton,ACC,,,,,
ACC,Activation jerk,redButton,ACC Activation jerk,,,,,
ACC,No activation jerk,greenButton,ACC No activation jerk,,,,,
ACC,Dectivation jerk,redButton,ACC Dectivation jerk,,,,,
ACC,No dectivation jerk,greenButton,ACC No dectivation jerk,,,,,
ACC,Acc pedal override jerk,redButton,ACC Acc pedal override jerk,,,,,
ACC,No acc pedal override jerk,greenButton,ACC No acc pedal override jerk,,,,,
ACC,Indicator override jerk,redButton,ACC Indicator override jerk,,,,,
ACC,No indicator override jerk,greenButton,ACC No indicator override jerk,,,,,
ACC,False brake,redButton,ACC False brake,,,,,
ACC,No false brake,greenButton,ACC No false brake,,,,,
ACC,Target drop,redButton,ACC Target drop,,,,,
ACC,No target drop,redButton,ACC No target drop,,,,,
ACC,Stalk performance: difficult activation,redButton,ACC Stalk performance: difficult activation,,,,,
ACC,Stalk performance: easy activation,greenButton,ACC Stalk performance: easy activation,,,,,
ACC,Time gap ECO: not acceptable,redButton,ACC Time gap ECO: not acceptable,,,,,
ACC,Time gap ECO: acceptable,greenButton,ACC Time gap ECO: acceptable,,,,,
ACC,Acceleration ECO: not acceptable,redButton,ACC Acceleration ECO: not acceptable,,,,,
ACC,Acceleration ECO: acceptable,greenButton,ACC Acceleration ECO: acceptable,,,,,
ACC,Overtake acceleration boost: not acceptable,redButton,ACC Overtake acceleration boost: not acceptable,,,,,
ACC,Overtake acceleration boost: acceptable,greenButton,ACC Overtake acceleration boost: acceptable,,,,,
ACC,Overtake target switching: not acceptable,redButton,ACC Overtake  target switching: not acceptable,,,,,
ACC,Overtake  target switching: acceptable,greenButton,ACC Overtake  target switching: acceptable,,,,,
ACC,Merge assist target switching: not acceptable,redButton,ACC Merge assist  target switching: not acceptable,,,,,
ACC,Merge assist target switching: acceptable,greenButton,ACC Merge assist target switching: acceptable,,,,,
ACC,Stop distance: not acceptable,redButton,ACC Stop distance: not acceptable,,,,,
ACC,Stop distance: acceptable,greenButton,ACC Stop distance: acceptable,,,,,
ACC,Speed sign adaptation (before sign): not acceptable,redButton,ACC Speed sign adaptation (before sign): not acceptable,,,,,
ACC,Speed sign adaptation (before sign): acceptable,greenButton,ACC Speed sign adaptation (before sign): acceptable,,,,,
ACC,Curve sign adaptation (before sign): not acceptable,redButton,ACC Curve sign adaptation (before sign): not acceptable,,,,,
ACC,Curve sign adaptation (before sign): acceptable,greenButton,ACC Curve sign adaptation (before sign): acceptable,,,,,
ACC,Roundabout adaptation (before sign): not acceptable,redButton,ACC Roundabout adaptation (before sign): not acceptable,,,,,
ACC,Roundabout adaptation (before sign): acceptable,greenButton,ACC Roundabout adaptation (before sign): acceptable,,,,,
ACC,Junctions adaptation (before sign): not acceptable,redButton,ACC Junctions adaptation (before sign): not acceptable,,,,,
ACC,Junctions adaptation (before sign): acceptable,greenButton,ACC Junctions adaptation (before sign): acceptable,,,,,
ACC,Traffic lights adaptation (before sign): not acceptable,redButton,ACC Traffic lights adaptation (before sign): not acceptable,,,,,
ACC,Traffic lights adaptation (before sign): acceptable,greenButton,ACC Traffic lights adaptation (before sign): acceptable,,,,,
ACC,Stop signs adaptation (before sign): not acceptable,redButton,ACC Stop signs adaptation (before sign): not acceptable,,,,,
ACC,Stop signs adaptation (before sign): acceptable,greenButton,ACC Stop signs adaptation (before sign): acceptable,,,,,
LCC,LCC,greyButton,LCC,,,,,
LCC,Lane centering performance: not acceptable,redButton,LCC Lane centering performance: not acceptable,,,,,
LCC,Lane centering performance: acceptable,greenButton,LCC Lane centering performance: acceptable,,,,,
LCC,False hands-off warning: not acceptable,redButton,LCC False hands-off warning: not acceptable,,,,,
LCC,False hands-off warning: acceptable,greenButton,LCC False hands-off warning: acceptable,,,,,
LCC,Driver in the loop: not acceptable,redButton,LCC Driver in the loop: not acceptable,,,,,
LCC,Driver in the loop: acceptable,greenButton,LCC Driver in the loop: acceptable,,,,,
LCC,Deactivation to re-gen: not acceptable,redButton,LCC Deactivation to re-gen: not acceptable,,,,,
LCC,Deactivation to re-gen: acceptable,greenButton,LCC Deactivation to re-gen: acceptable,,,,,
ALCA,ALCA,greyButton,ALCA,,,,,
ALCA,Override feeling: not acceptable,redButton,ALCA Override feeling: not acceptable,,,,,
ALCA,Override feeling: acceptable,greenButton,ALCA Override feeling: acceptable,,,,,
ALCA,Smoothness maneuver: not acceptable,redButton,ALCA Smoothness maneuver: not acceptable,,,,,
ALCA,Smoothness maneuver: acceptable,greenButton,ALCA Smoothness maneuver: acceptable,,,,,
ALCA,Availability (displayed): not acceptable,redButton,ALCA Availability (displayed): not acceptable,,,,,
ALCA,Availability (displayed): acceptable,greenButton,ALCA Availability (displayed): acceptable,,,,,
ALCA,Cancellation haptic warning: not acceptable,redButton,ALCA Cancellation haptic warning: not acceptable,,,,,
ALCA,Cancellation haptic warning: acceptable,greenButton,ALCA Cancellation haptic warning: acceptable,,,,,
All functions,All functions,greyButton,All functions,,,,,
All functions,Cancellation sounds: not acceptable,redButton,All functions Cancellation sounds: not acceptable,,,,,
All functions,Cancellation sounds: acceptable,greenButton,All functions Cancellation sounds: acceptable,,,,,
