	Target	Max allowed	CC 1202 [2025-12-10]
iACC — Too much brake for road feature	4	7	340.0080634
iACC — Too much brake for road feature curve	4	7	49.7244994
ACC — False brake	2	5	30.90982395
LCA — False positive	4	7	28.22201317
LCC — False take over request	4	7	25.53420239
LDP — False positive	4	7	25.53420239
ELKA — Road edge False positive	4	7	17.47077006
iACC — Too much brake for road feature lane split/merge	4	7	16.12686467
TSI — Speed Double dash	2	5	14.78295928
LCC — Poor lane centering performance	2	5	13.43905389
TSI — Explicit incorrect speed detected	1	1	10.75124311
TSI — Implicit incorrect speed detected	4	7	8.063432334
LDW — False positive	2	5	8.063432334
ACC — Cut-in performance	4	7	8.063432334
TSI — Conditional incorrect speed detected	4	7	4.031716167
LCC — Cancel for no reason	4	7	4.031716167
iACC — Not enough brake for road feature	4	7	4.031716167
iACC — Too much brake for road feature junction	2	5	4.031716167
LCC — False brake	4	7	2.687810778
iACC — No brake for Road feature	4	7	2.687810778
LCC — Wrong lane at lane split	4	7	2.687810778
LCC — Lateral jerk	4	7	1.343905389
LCC — Available outside ODD	4	7	1.343905389
LCA — False negative	4	7	1.343905389
ELKA — Oncoming False positive	4	7	1.343905389
ALCA — Cancel for no reason	4	7	1.343905389
